Tranko Rank,Website,Network IP Address,State,GPP String,Section List,GPC Signal,Serialized Ping,Error
7024,https://zedge.net/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7030,https://comicbook.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7064,https://montevideo.com.uy/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7066,https://maxroll.gg/,146.70.174.230,California,DBABT~1YNN,[6],,"{'data': {'applicableSections': [6], 'cmpDisplayStatus': 'hidden', 'cmpId': None, 'cmpStatus': 'loaded', 'gppString': 'DBABT~1YNN', 'gppVersion': '1.1', 'parsedSections': {}, 'sectionList': [6], 'signalStatus': 'ready', 'supportedAPIs': ['uspv1']}, 'success': True}",GPC Retrieval Error: 'usnat'
7072,https://ztedevices.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7105,https://serebii.net/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7113,https://videa.hu/,146.70.174.230,California,DBABBg~BoAAAACQ.YA,[8],,"{'data': {'applicableSections': [8], 'cmpDisplayStatus': 'hidden', 'cmpId': 10, 'cmpStatus': 'loaded', 'gppString': 'DBABBg~BoAAAACQ.YA', 'gppVersion': '1.1', 'parsedSections': {'usca': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 1, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 0, 'SaleOptOutNotice': 2, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0], 'SharingOptOut': 0, 'SharingOptOutNotice': 2, 'Version': 1}}, 'sectionList': [8], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '6:uspv1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct']}, 'success': True}",GPC Retrieval Error: 'usnat'
7114,https://blitz.gg/,146.70.174.230,California,,[],,"{'data': {'applicableSections': [-1], 'cmpDisplayStatus': 'hidden', 'cmpId': 10, 'cmpStatus': 'stub', 'gppString': '', 'gppVersion': '1.1', 'parsedSections': {}, 'sectionList': [], 'signalStatus': 'not ready', 'supportedAPIs': ['2:tcfeuv2', '6:uspv1', '7:usnatv1', '8:usca', '9:usvav1', '10:uscov1', '11:usutv1', '12:usctv1']}, 'success': True}",GPC Retrieval Error: 'usnat'
7120,https://futurism.com/,146.70.174.230,California,DBABBg~BUUAAACA.YA,[8],,"{'data': {'applicableSections': [8], 'cmpDisplayStatus': 'hidden', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBABBg~BUUAAACA.YA', 'gppVersion': '1.1', 'parsedSections': {'usca': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0], 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [8], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca']}, 'success': True}",GPC Retrieval Error: 'usnat'
7123,https://smartrecruiters.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7135,https://hamariweb.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7162,https://humblebundle.com/,146.70.174.230,California,DBABLA~BVQVAAAABgA.YA,[7],True,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'disabled', 'cmpId': 28, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQVAAAABgA.YA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 1, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 1, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca', '9:usva', '7:usnat', '10:usco', '12:usct', '11:usut', '2:tcfeuv2']}, 'success': True}",
7169,https://wordstream.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7193,https://portfolio.hu/,146.70.174.230,California,,,,,"Domain Retrieval Error: HTTPConnectionPool(host='localhost', port=61372): Read timed out. (read timeout=120)"
7195,https://worldpopulationreview.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7210,https://unh.edu/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7215,https://fut.gg/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7227,https://sondakika.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7262,https://worldatlas.com/,146.70.174.230,California,DBABzw~1YNY~BVQqAAAAAgA,"[6, 7]",,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 46, 'cmpStatus': 'loaded', 'gppString': 'DBABzw~1YNY~BVQqAAAAAgA', 'gppVersion': '1.1', 'parsedSections': {'usnatv1': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}, 'uspv1': {'LspaCovered': 'Y', 'Notice': 'Y', 'OptOutSale': 'N', 'Version': 1}}, 'sectionList': [6, 7], 'signalStatus': 'ready', 'supportedAPIs': []}, 'success': True}",GPC Retrieval Error: 'usnat'
7279,https://horoscope.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7299,https://dailykos.com/,146.70.174.230,California,DBABBg~BUUAAACA.YA,[8],,"{'data': {'applicableSections': [8], 'cmpDisplayStatus': 'hidden', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBABBg~BUUAAACA.YA', 'gppVersion': '1.1', 'parsedSections': {'usca': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0], 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [8], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca']}, 'success': True}",GPC Retrieval Error: 'usnat'
7354,https://rpp.pe/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7361,https://active.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7395,https://word.tips/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7455,https://mathrubhumi.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7496,https://klix.ba/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7519,https://inverse.com/,146.70.174.230,California,,,,,"Domain Retrieval Error: Message: Reached error page: about:neterror?e=nssFailure2&u=https%3A//inverse.com/&c=UTF-8&d=The%20connection%20to%20inverse.com%20was%20interrupted%20while%20the%20page%20was%20loading.
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
UnknownError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:910:5
checkReadyState@chrome://remote/content/marionette/navigate.sys.mjs:58:24
onNavigation@chrome://remote/content/marionette/navigate.sys.mjs:347:39
emit@resource://gre/modules/EventEmitter.sys.mjs:148:20
receiveMessage@chrome://remote/content/marionette/actors/MarionetteEventsParent.sys.mjs:33:25
"
7526,https://viki.com/,146.70.174.230,California,DBABBg~BUUAAACA.YA,[8],,"{'data': {'applicableSections': [8], 'cmpDisplayStatus': 'hidden', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBABBg~BUUAAACA.YA', 'gppVersion': '1.1', 'parsedSections': {'usca': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0], 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [8], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca']}, 'success': True}",GPC Retrieval Error: 'usnat'
7528,https://epicurious.com/,146.70.174.230,California,,,,,"Domain Retrieval Error: Message: Reached error page: about:neterror?e=nssFailure2&u=https%3A//www.epicurious.com/&c=UTF-8&d=The%20connection%20to%20www.epicurious.com%20was%20interrupted%20while%20the%20page%20was%20loading.
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
UnknownError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:910:5
checkReadyState@chrome://remote/content/marionette/navigate.sys.mjs:58:24
onNavigation@chrome://remote/content/marionette/navigate.sys.mjs:347:39
emit@resource://gre/modules/EventEmitter.sys.mjs:148:20
receiveMessage@chrome://remote/content/marionette/actors/MarionetteEventsParent.sys.mjs:33:25
"
7544,https://chess-results.com/,146.70.174.230,California,,[],,"{'data': {'applicableSections': [-1], 'cmpDisplayStatus': 'hidden', 'cmpId': 31, 'cmpStatus': 'stub', 'gppString': '', 'gppVersion': '1.1', 'sectionList': [], 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '6:uspv1']}, 'success': True}",GPC Retrieval Error: 'parsedSections'
7566,https://gobankingrates.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
7596,https://unotv.com/,146.70.174.230,California,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
