Tranko Rank,Website,Network IP Address,State,GPP String,Section List,GPC Signal,Serialized Ping,Error
4039,https://macrumors.com,128.255.234.13,Iowa,DBABzw~1YYY~BVQqAAAAAgI,"[6, 7]",True,"{'data': {'applicableSections': [6, 7], 'cmpDisplayStatus': 'visible', 'cmpId': 1, 'cmpStatus': 'loaded', 'gppString': 'DBABzw~1YYY~BVQqAAAAAgI', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': True, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'SubsectionType': 0, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}, 'uspv1': '1YYY'}, 'sectionList': [6, 7], 'signalStatus': 'ready', 'supportedAPIs': ['6:uspv1', '7:usnat']}, 'success': True}",
4077,https://gq.com,128.255.234.13,Iowa,DBABLA~BVQVAAAABgA.YA,[7],True,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'disabled', 'cmpId': 28, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQVAAAABgA.YA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 1, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 1, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca', '9:usva', '7:usnat', '10:usco', '12:usct', '11:usut', '2:tcfeuv2']}, 'success': True}",
4082,https://manchestereveningnews.co.uk,128.255.234.13,Iowa,DBABLA~BqgAAAAAAkA.YA,[7],,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 10, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BqgAAAAAAkA.YA', 'gppVersion': '1.1', 'parsedSections': {'usnatv1': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 1, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 0, 'SaleOptOutNotice': 2, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 2, 'SharingOptOut': 0, 'SharingOptOutNotice': 2, 'TargetedAdvertisingOptOut': 0, 'TargetedAdvertisingOptOutNotice': 2, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '6:uspv1', '7:usnatv1', '8:usca', '9:usvav1', '10:uscov1', '11:usutv1', '12:usctv1']}, 'success': True}",GPC Retrieval Error: 'usnat'
4090,https://wondershare.com,128.255.234.13,Iowa,DBAA,[],,"{'data': {'applicableSections': [-1], 'cmpDisplayStatus': 'disabled', 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBAA', 'gppVersion': '1.1', 'parsedSections': {}, 'sectionList': [], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",GPC Retrieval Error: 'usnat'
4094,https://bustle.com,128.255.234.13,Iowa,DBABLA~BqgAAAAAAACQ.YA,[7],True,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 10, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BqgAAAAAAACQ.YA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 1, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 0, 'SaleOptOutNotice': 2, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 2, 'SharingOptOut': 0, 'SharingOptOutNotice': 2, 'TargetedAdvertisingOptOut': 0, 'TargetedAdvertisingOptOutNotice': 2, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '6:uspv1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct']}, 'success': True}",
4135,https://foreignpolicy.com,128.255.234.13,Iowa,,,,GPP API not found,"GPP Retrieval Error: string indices must be integers, not 'str'"
4191,https://searchengineland.com,128.255.234.13,Iowa,DBABLA~BVAUAAAAAAA.QA,[7],False,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'visible', 'cmpId': 354, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVAUAAAAAAA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 0, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 0, 'TargetedAdvertisingOptOutNotice': 0, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'not ready', 'supportedAPIs': '7:usnat'}, 'success': True}",
4235,https://tomshardware.com,128.255.234.13,Iowa,DBABLA~BVQqAAAAAgA.YA,[7],True,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQqAAAAAgA.YA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['7:usnat']}, 'success': True}",
4285,https://polygon.com,128.255.234.13,Iowa,DBABLA~BVQVAAAABZA.YA,[7],,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'disabled', 'cmpId': 28, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQVAAAABZA.YA', 'gppVersion': '1.1', 'parsedSections': {'usnatv1': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 1, 'MspaOptOutOptionMode': 2, 'MspaServiceProviderMode': 1, 'PersonalDataConsents': 1, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 1, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['8:uscav1', '9:usvav1', '7:usnatv1', '10:uscov1', '12:usctv1', '11:usutv1', '2:tcfeuv2']}, 'success': True}",GPC Retrieval Error: 'usnat'
4317,https://harpersbazaar.com,128.255.234.13,Iowa,DBABLA~BVQVAAAAAgA.YA,[7],True,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'disabled', 'cmpId': 28, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQVAAAAAgA.YA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': True, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 1, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 1, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 1, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca', '9:usva', '15:usor', '7:usnat', '10:usco', '13:usfl', '12:usct', '14:usmt', '16:ustx', '17:usde', '18:usia', '19:usne', '22:ustn', '21:usnj', '20:usnh', '11:usut', '2:tcfeuv2']}, 'success': True}",
